Bin Code;Item No.;Lot No.;Inventory;ilosc;opis
15-A;000140;BLOT100562;682;1;Kontakt zenski
15-A;000140;LOT1000792;79;1;Kontakt zenski
15-A;000140;LOT1000978;21;1;Kontakt zenski
15-A;000140;LOT1007571;200;1;Kontakt zenski
15-A;000203;BLOT100579;32;1;Kontakt meski 1.5mm2
15-A;000399;BLOT100644;52;1;Dystans metalowy
15-A;000873;BLOT100773;159;1;Faston 1.5-2.5mm bez izolacji
15-A;000924;BLOT100802;181;1;Sruba M5x50 12,9(D912129CP/050
15-A;001021;LOT1002620;21;1;Dlawnica M20x1.5
15-A;001141;BLOT100855;462;1;Sruba M4x10 imbus D912 8.8 ocy
15-A;001142;BLOT100856;377;1;Nakretka M3 D934 ocynk
15-A;001143;BLOT100857;471;1;Nakretka M4 D934 ocynk
15-A;001144;BLOT100858;352;1;Podkladka M3 140HV ocynk
15-A;001145;BLOT100859;161;1;Podkladka talerzowa 10x4,2x0,5
15-A;001262;BLOT100873;62;1;Kontakt meski 0,5mm2
15-A;001463;BLOT100897;5;1;Tuleja wew. GSB430 10,92/12,70
15-A;502056;BLOT100971;4;1;Panel Rittal 2563.010 Szary
15-A;502850;BLOT101036;259;1;Erd-Kontakt meski #12/2.5mm2
15-A;502852;BLOT101038;209;1;Erd-Kontakt zenski #12/2.5mm2
15-A;502903;LOT1003839;4;1;Wtyczka Hirschmann 101-1445
15-A;502903;LOT1006954;49;1;Wtyczka Hirschmann 101-1445
15-A;503491;BLOT101092;19;1;Sprengring CGF GR.36 SPI-57
15-A;503492;BLOT101093;121;1;Wellscheibe CGF GR.36 Edelstha
15-A;511637;BLOT101138;106;1;Erdkontakt zu CGL 18-10P
15-A;511638;BLOT101139;34;1;Kontakt zenski
15-A;561025;LOT1006029;20;1;Kontakt meski HDD-22
15-A;561025;LOT1007882;300;1;Kontakt meski HDD-22
15-A;562027;BLOT101324;610;1;Kontakt meski
15-B;000283;LOT1006625;369;1;Dystans plastikowy 1mm
15-B;000415;LOT1000922;96;1;Oprawa konektora XX_28
15-B;000415;LOT1002071;100;1;Oprawa konektora XX_28
15-B;000759;LOT1007360;100;1;Hilti Gehaeuse Schwarz
15-B;000759;LOT1007777;70;1;Hilti Gehaeuse Schwarz
15-B;001103;BLOT100841;132;1;Obudowa plastik. do D-Sub 9pol
15-B;001103;LOT1002799;100;1;Obudowa plastik. do D-Sub 9pol
15-B;001322;LOT1006800;24;1;Hilti Geh. schwarz inkl. Schli
15-B;001322;LOT1007491;4;1;Hilti Geh. schwarz inkl. Schli
15-B;001322;LOT1007696;120;1;Hilti Geh. schwarz inkl. Schli
15-B;001418;BLOT100886;546;1;Housing condenser
15-B;02855;LOT1004093;378;1;Dlawnica metalowa M20 beztl.
15-B;02855;LOT1006949;500;1;Dlawnica metalowa M20 beztl.
15-B;11315;LOT1007415;271;1;Dlawnica  metalowa M20x1.5 cz.
15-B;11315;LOT1007835;197;1;Dlawnica  metalowa M20x1.5 cz.
15-B;11315;LOT1007881;50;1;Dlawnica  metalowa M20x1.5 cz.
15-B;502862;BLOT101043;27;1;Obudowa D-Sub 37pol metalow
15-B;502891;LOT1007616;274;1;EMV-KV M40 Progress 28.5-32mm
15-B;502891;LOT1007619;160;1;EMV-KV M40 Progress 28.5-32mm
15-B;511337;LOT1007621;35;1;EMV-KV M32 Progress 18-21mm
15-B;511738;LOT1007451;112;1;Dlawnica EMV KV PG11 8.5-12mm
15-B;511738;LOT1007843;65;1;Dlawnica EMV KV PG11 8.5-12mm
15-B;561015;BLOT101306;42;1;Wtyczka meska HDP-20 37pol
15-B;561052;BLOT101310;32;1;Zestaw - Wtyczka + obudowa
15-B;563015;LOT1006787;19;1;Obudowa D-Sub 25-pol
15-B;61039;BLOT100481;1043;1;Konektor D-Sub 9-pol
15-C;000006;LOT1007127;16;1;Nakretka M40
15-C;000006;LOT1007598;10;1;Nakretka M40
15-C;000028;LOT1006472;37;1;Nakretka M20
15-C;000028;LOT1007599;25;1;Nakretka M20
15-C;000040;BLOT100525;42;1;Zlacze katowe 90� M20x1.5
15-C;000041;LOT1006468;25;1;Reduktor M25x1.5-M20x1.5
15-C;000041;LOT1007417;25;1;Reduktor M25x1.5-M20x1.5
15-C;000042;LOT1006471;21;1;Zaslepka mosiezna M25x1.5 7mm
15-C;000042;LOT1007600;25;1;Zaslepka mosiezna M25x1.5 7mm
15-C;000046;LOT1006469;15;1;Nakretka M25
15-C;000046;LOT1007287;16;1;Nakretka M25
15-C;000046;LOT1007601;10;1;Nakretka M25
15-C;000071;LOT1005509;15;1;Nakretka M32
15-C;000071;LOT1005703;20;1;Nakretka M32
15-C;000071;LOT1006418;20;1;Nakretka M32
15-C;000156;BLOT100568;83;1;Dlawnica metalowa M20x1.5
15-C;000184;BLOT100570;30;1;Dlawnica PG16
15-C;000185;BLOT100571;79;1;Dlawnica metalowa PG16 MS EMV
15-C;000294;LOT1006419;7;1;Zaslepka M32 dl.13mm
15-C;000349;BLOT100624;18;1;Zlacze katowe M40x1.5
15-C;000361;BLOT100627;19;1;AGRO 1000.20.150
15-C;000374;LOT1004097;2;1;Reduktor M40x1.5/M32x1.5
15-C;000474;LOT1006606;15;1;Zaslepka M20
15-C;000474;LOT1007602;25;1;Zaslepka M20
15-C;000476;LOT1006696;10;1;Zaslepka M40
15-C;000602;BLOT100700;3;1;Dlawnica Agro 1160.11
15-C;000624;BLOT100704;70;1;Dlawnica M16x1.5
15-C;000653;BLOT100713;22;1;Zaslepka mosiezna M16x1.5
15-C;000654;BLOT100714;45;1;Nakretka mosiezna M16x1.5
15-C;000793;LOT1000023;50;1;Dlawnica HSK-M M16x1,5 PG11
15-C;000794;LOT1000024;42;1;Redukcja M20-M16x1.5 6k
15-C;000866;BLOT100770;19;1;Dlawnica mosEMC M20x1,5 fi8-15
15-C;001022;BLOT100811;6;1;Dlawnica M16x1.5
15-C;001038;LOT1005297;7;1;Dlawnica mosiez PG11 fi5,5-8,5
15-C;001139;BLOT100853;5;1;Nakretka mosiezna M12x1.5
15-C;001148;BLOT100862;2;1;Dlawnica M20x1.5
15-C;001160;BLOT100868;103;1;Dlawnica EMV M12x1.5
15-C;001301;LOT1007450;23;1;Redukcja M25-M32
15-C;001520;BLOT100904;12;1;Dlawnica M20 na dwa przewody
15-C;001610;BLOT100933;10;1;Dlawnica mosiezna M40x1.5
15-C;02901;LOT1007145;142;1;Dlawnica metalowa PG11 MS
15-C;02901;LOT1007618;150;1;Dlawnica metalowa PG11 MS
15-C;11698;LOT1005580;30;1;Dlawnica metalowa z tuba PCV
15-C;502074;LOT1003124;16;1;Redukcja 32-25
15-C;502074;LOT1005977;20;1;Redukcja 32-25
15-C;502214;LOT1004508;50;1;Dlawnica M16x1.5 HSK-M-EMV-Ex
15-C;502436;LOT1006478;7;1;Dlawnica M25x16-19
15-C;502436;LOT1007613;25;1;Dlawnica M25x16-19
15-C;502479;LOT1006607;3;1;Dlawnica metalowa PG13
15-C;502479;LOT1007614;75;1;Dlawnica metalowa PG13
15-C;502833;LOT1005075;67;1;Dlawnica metalowa M20x1.5 cz
15-C;502833;LOT1005978;50;1;Dlawnica metalowa M20x1.5 cz
15-C;502833;LOT1006227;100;1;Dlawnica metalowa M20x1.5 cz
15-C;502833;LOT1006697;50;1;Dlawnica metalowa M20x1.5 cz
15-C;502833;LOT1007612;75;1;Dlawnica metalowa M20x1.5 cz
15-C;502856;BLOT101039;271;1;Dlawnica EMV-KV PG29
15-C;502856;LOT1000189;250;1;Dlawnica EMV-KV PG29
15-C;502856;LOT1001605;275;1;Dlawnica EMV-KV PG29
15-C;502904;LOT1007292;121;1;Nakretka na dlawnice PG11
15-C;502904;LOT1007841;100;1;Nakretka na dlawnice PG11
15-C;503047;LOT1002710;6;1;Dlawnica mosiezna PG9 fi6-8mm
15-C;503435;LOT1006316;84;1;Dlawnica metalowa PG11 MS
15-C;503495;LOT1005583;47;1;Dlawnica M25 13.0-16.0mm
16-A;000324;LOT1004657;57;1;Schraubklemme 2pol
16-A;000493;BLOT100668;37;1;Wtyczka
16-A;000769;BLOT100747;4;1;FLM.1E.304.CLAC45
16-A;000820;BLOT100762;6;1;Fischer 100485 S102 A056-130+
16-A;000891;LOT1002504;2;1;Kabelst CA06PG10SL-3PB01A176
16-A;000892;LOT1002626;2;1;Kabeldose CA01PG10SL-3SB01A176
16-A;001064;LOT1000121;13;1;Zlacze Micro Match 10p
16-A;001067;BLOT100835;773;1;Tulejka izolowana 1.5/8
16-A;001069;BLOT100837;120;1;Wtyczka Mini-Fit 4pol
16-A;001129;LOT1007227;9;1;Zestaw zakonczeniowy E-20
16-A;001155;LOT1001626;18,8;1;Owijka spiralna, 1.5-10mm
16-A;001156;LOT1006271;51;1;Stecker win. FLM.0E.302.CLAC50
16-A;001620;BLOT100938;60;1;Tulejka H10/12 nieizolowana
